Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
Social Development,Social Development,National,Programme 4: Welfare Services Policy Development and Implementation Support,4.1: Children’s Legislation and Families,Quarterly,Number of districts capacitated on teenage parent programme,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster","Capacitate 
fourteen 
(2) districts 
on Teenage 
Parent 
Programme ","Stakeholders were capacitated on Teenage Parent Programme in two (2) districts 
namely, Lejweleputswa and Mangaung Metropolitan
",No deviation,Not Applicable,,,"Capacitate 
fourteen 
(4) districts 
on Teenage 
Parent 
Programme ",,,,,,"Capacitate 
fourteen 
(4) districts 
on Teenage 
Parent 
Programme ",,,,,,"Capacitate 
fourteen 
(4) districts 
on Teenage 
Parent 
Programme ",,,,,,"Capacitate 
fourteen 
(14) districts 
on Teenage 
Parent 
Programme ",-,,,,,,,389
Social Development,Social Development,National,Programme 4: Welfare Services Policy Development and Implementation Support,4.1: Children’s Legislation and Families,Quarterly,Revised White Paper on Famies approved,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",,Applicable in the 3rd quarter,,,,,,,,,,,"Present the revised White 
Paper on Families to the 
SPCHD Cluster",,,,,,"Submit the revised White 
Paper on Families to 
Cabinet for approval",,,,,,"Submit the revised White 
Paper on Families to 
Cabinet for approval",-,,,,,,,389
Social Development,Social Development,National,Programme 4: Welfare Services Policy Development and Implementation Support,4.2: HIV and AIDS,Quarterly,Number of districts capacitated on Guidelines for Social Service Practitioners: Enabling Access to HIV Services,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster","Capacitate two (2) 
districts on Guidelines 
for Social Service 
Practitioners: Enabling 
Access to HIV Services","A total of two (2) districts namely, uMgungundlovu and Eden Karoo were capacitated on Guidelines for Social Service Practitioners: Enabling Access to HIV Services",No deviation,Not Applicable,,,"Capacitate three (3) 
districts on Guidelines 
for Social Service 
Practitioners: Enabling 
Access to HIV Services",,,,,,"Capacitate three (3) 
districts on Guidelines 
for Social Service 
Practitioners: Enabling 
Access to HIV Services",,,,,,"Capacitate three (2) districts 
on Guidelines for Social 
Service Practitioners: 
Enabling Access to HIV 
Services",,,,,,"Capacitate ten 
(10) districts on 
Guidelines for 
Social Service 
Practitioners: 
Enabling Access 
to HIV Services",-,,,,,,,389
Social Development,Social Development,National,Programme 4: Welfare Services Policy Development and Implementation Support,4.2: HIV and AIDS,Quarterly,Number of provinces capacitated on Social and Behaviour Change,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",Applicable in the 2nd quarter,,,,,,"Capacitate three (3) 
provinces on Social and 
Behaviour Change (SBC) 
programmes",,,,,,"Capacitate three (3) 
provinces on Social and 
Behaviour Change (SBC) 
programmes",,,,,,"Capacitate two (2) 
provinces on Social and 
Behaviour Change (SBC) 
programmes",,,,,,"Capacitate eight 
(8) provinces 
on Social and 
Behaviour 
Change (SBC) 
Programmes",-,,,,,,,389
Social Development,Social Development,National,Programme 4: Welfare Services Policy Development and Implementation Support,4.2: HIV and AIDS,Quarterly,Number of OVCY in G2G districts provided with core package of services ,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",Applicable in the 2nd quarter,,,,,,,,,,,,"Provide seventy thousand 
(70 000) OVCY in G2G 
districts with core package 
of services",,,,,,,,,,,,"Provide seventy 
thousand 
(70 000) OVCY 
in G2G districts 
with core 
package of 
services",-,,,,,,,389
Social Development,Social Development,National,Programme 4: Welfare Services Policy Development and Implementation Support,4.2: HIV and AIDS,Quarterly,Percentage of OVCY who know their HIV status in G2G districts provided with core package of services ,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",Applicable in the 2nd quarter,,,,,,,,,,,,"Provide core package of 
services to 70% OVCY (who 
know their HIV status) in 
G2G districts ",,,,,,,,,,,,"Provide core 
package of 
services to 70% 
OVCY (who 
know their HIV 
status) in G2G 
districts ",-,,,,,,,389
Social Development,Social Development,National,Programme 4: Welfare Services Policy Development and Implementation Support,4.2: HIV and AIDS,Quarterly,Percentage of OVCY who know their HIV status in G2G districts supported to adhere to treatment ,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster",Applicable in the 2nd quarter,,,,,,,,,,,,"Support 95% of OVCY 
(in G2G district) with HIV 
positive results to adhere to 
(ART) treatment ",,,,,,,,,,,,"Support 95% of 
OVCY (in G2G 
district) with HIV 
positive results 
to adhere to 
(ART) treatment ",-,,,,,,,389
Social Development,Social Development,National,Programme 4: Welfare Services Policy Development and Implementation Support,4.3: Children’s Services,Quarterly,Number of provinces capacitated on the practice Guidelines for National and Intercountry Adoption,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster","Capacitate two (2) 
provinces on the Practice 
Guidelines for National and 
Intercountry Adoption",Two (2) provinces (Eastern Cape and Northern Cape) were capacitated on the Practice Guidelines for National and Intercountry Adoption,No deviation,Not Applicable,,,"Capacitate two (2) 
provinces on the Practice 
Guidelines for National 
and Intercountry 
Adoption",,,,,,"Capacitate two (2) 
provinces on the Practice 
Guidelines for National and 
Intercountry Adoption",,,,,,,,,,,,"Capacitate six (6) provinces 
on the Practice 
Guidelines for 
National and 
Intercountry 
Adoption",-,,,,,,,389
Social Development,Social Development,National,Programme 4: Welfare Services Policy Development and Implementation Support,4.3: Children’s Services,Quarterly,Implementation of the Guidelines for Community Based Prevention and Early Intervention Services to Vulnerable Children monitored,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster","Quarterly monitoring report 
on the implementation of 
Guidelines for Community 
Based Prevention and Early 
Intervention Services to 
Vulnerable Children in nine 
(9) provinces",Quarterly monitoring report on the implementation of Guidelines for Community Based Prevention and Early Intervention Services to Vulnerable Children in nine (9) provinces compiled.,No deviation,Not Applicable,,,"Quarterly monitoring 
report on the 
implementation 
of Guidelines for 
Community Based 
Prevention and Early 
Intervention Services to 
Vulnerable Children in 
nine (9) provinces ",,,,,,"Quarterly monitoring 
report on the 
implementation 
of Guidelines for 
Community Based 
Prevention and Early 
Intervention Services to 
Vulnerable Children in 
nine (9) provinces ",,,,,,"Consolidated annual 
monitoring report on 
the implementation 
of the Guidelines for 
Community Based 
Prevention and Early 
Intervention Services to 
Vulnerable Children ",,,,,,"Monitor the 
Implementation 
Guidelines for 
Community 
Based 
Prevention 
and Early 
Intervention 
Services to 
vulnerable 
children in nine 
provinces",-,,,,,,,389
Social Development,Social Development,National,Programme 4: Welfare Services Policy Development and Implementation Support,4.3: Children’s Services,Quarterly,"Implementation of the Intersectoral Protocol on the Prevention and Management of Violence against Children, Child Abuse, Neglect and Exploitation monitored",Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster","Quarterly monitoring report 
on the implementation 
of Intersectoral Protocol 
on the Prevention and 
Management of Violence 
Against Children, Child 
Abuse, Neglect and 
Exploitation in nine (9) 
provinces","Quarterly monitoring report on the implementation of Intersectoral Protocol on the Prevention and Management of Violence Against Children, Child Abuse, Neglect and Exploitation compiled in nine (9) provinces.",No deviation,Not Applicable,,,"Quarterly monitoring report 
on the implementation 
of Intersectoral Protocol 
on the Prevention and 
Management of Violence 
Against Children, Child 
Abuse, Neglect and 
Exploitation in nine (9) 
provinces",,,,,,"Quarterly monitoring report 
on the implementation 
of Intersectoral Protocol 
on the Prevention and 
Management of Violence 
Against Children, Child 
Abuse, Neglect and 
Exploitation in nine (9) 
provinces",,,,,,"Consolidated annual 
monitoring report on the 
implementation of the 
Intersectoral
Protocol on the 
Prevention and 
Management and 
Prevention of Violence 
against Children, 
Child Abuse, Neglect 
and Exploitation 
implemented",,,,,,"Monitor the 
implementation 
of the 
Intersectoral 
Protocol on the 
Prevention and 
Management 
of Violence 
Against 
Children, Child 
Abuse, Neglect 
and Exploitation 
in nine (9) 
provinces",-,,,,,,,389
Social Development,Social Development,National,Programme 4: Welfare Services Policy Development and Implementation Support,4.3: Children’s Services,Quarterly,Implementation of the Programme of Action (POA) for Foster Care monitored,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"The Social Protection, Community and Human Development cluster","Quarterly monitoring report 
the implementation of the 
PoA on foster care in all 
provinces ",Quarterly monitoring report on the implementation of the PoA on foster care in all provinces compiled.,No deviation,Not Applicable,,,"Quarterly monitoring 
report the 
implementation of the 
PoA on foster care in all 
provinces ",,,,,,"Quarterly monitoring 
report the implementation 
of the PoA on foster care in 
all provinces",,,,,,"Consolidated annual 
monitoring report on the 
implementation of the 
PoA on foster care in all 
provinces",,,,,,"Monitor the 
implementation 
of the PoA on 
foster care in all 
provinces",-,,,,,,,389
